StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,screener1,screener2,screener2_7_TEXT,challenges_Open,noncompliance,personnel,burnout,difficultPatients,ypControl1,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,ypControl2,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,articleResponse,articleResponse_Open,PANAS_1,PANAS_2,PANAS_3,PANAS_4,PANAS_5,PANAS_6,PANAS_7,PANAS_8,PANAS_9,PANAS_10,PANAS_11,PANAS_12,PANAS_13,PANAS_14,PANAS_15,PANAS_16,PANAS_17,PANAS_18,PANAS_19,PANAS_20,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,severe,treatment_1,treatmentDose_1_1,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,frustrating_1,initiative_1,honest_1,exaggerate_1,deserve_1,difficult_1,givingUp_1,lazy_1,motivated_1,healthImproves_1,intelligent_1,attributions_1,treatment_2,treatmentDose_2_1,notes_1,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,frustrating_2,initiative_2,honest_2,exaggerate_2,deserve_2,difficult_2,givingUp_2,lazy_2,motivated_2,healthImproves_2,intelligent_2,attributions_2,moveForwardOpen,notes_2,opinionPatient_Open,feelPatient_Open,yearsWork_1,specialty,jobTitle,yearsWorkCurrent_1,workWhere,workInsurancePercent_1,trainingWhere,trainingWhere_US,trainingWhere_notUS,age,gender,gender_5_TEXT,race,race_6_TEXT,race_7_TEXT,ladder,politics,income,edFather,edMother,Create New Field or Choose From Dropdown...,Condition
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you currently work in the healthcare / medical industry?,Which of the following best describes your current role? - Selected Choice,Which of the following best describes your current role? - Other (Please list) - Text,"Your Perspective


In your experience, what are the greatest challenges in being a healthcare provider today?



Please list at least 3 things that you find to be the biggest challenges in your work.",Patient noncompliance / nonadherence is a widespread issue across healthcare that many providers face.,High turnover and staff shortages are a widespread issue across healthcare facilities.,"Many, if not all, healthcare providers experience burnout from their work.",It is very common to encounter difficult patients as a healthcare provider.,"In your experience, what are some difficulties that you encounter while providing healthcare?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Your Perspective
 

In your experience, how has patient noncompliance / nonadherence affected you and your work?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"To what extent do you agree with the following statement?

The articles that I read in this study ring true to my experience as a healthcare provider.",Please explain why you chose the answer that you did:,Indicate the extent you currently feel this way: - Interested,Indicate the extent you currently feel this way: - Distressed,Indicate the extent you currently feel this way: - Excited,Indicate the extent you currently feel this way: - Upset,Indicate the extent you currently feel this way: - Strong,Indicate the extent you currently feel this way: - Guilty,Indicate the extent you currently feel this way: - Scared,Indicate the extent you currently feel this way: - Hostile,Indicate the extent you currently feel this way: - Enthusiastic,Indicate the extent you currently feel this way: - Proud,Indicate the extent you currently feel this way: - Irritable,Indicate the extent you currently feel this way: - Alert,Indicate the extent you currently feel this way: - Ashamed,Indicate the extent you currently feel this way: - Inspired,Indicate the extent you currently feel this way: - Nervous,Indicate the extent you currently feel this way: - Determined,Indicate the extent you currently feel this way: - Attentive,Indicate the extent you currently feel this way: - Jittery,Indicate the extent you currently feel this way: - Active,Indicate the extent you currently feel this way: - Afraid,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How severe is Dave's pain?,"Using Tele-Med's Pain Relief Ladder, how would you treat Dave's pain?

Assume that each of the following treatment options is the same cost to Dave. Do not think about cost when making your choices.   
 


 

Please choose two of the following:",How large a dose would you recommend for your treatment? Please use the slider below to indicate dosage. - [QID1717768273-ChoiceGroup-SelectedChoices],Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"After the time and effort spent creating a treatment plan and explaining it, this is frustrating.",Dave is not taking initiative with their own health.,Dave is honest.,Dave is exaggerating their pain.,Dave deserves help.,Dave is difficult.,I feel like giving up on Dave.,Dave is lazy.,Dave is motivated.,It is important to me that Dave's health improves.,Dave is intelligent.,Please indicate which statement you most agree with:,"Using Tele-Med's Pain Relief Ladder, how would you treat Dave's pain? Assume that each of the following treatment options is the same cost to Dave. Do not worry about cost. 
 


 

Please choose two of the following:",How large a dose would you recommend for your treatment? Please use the slider below to indicate dosage. - [QID1717768273-ChoiceGroup-SelectedChoices],"Below, write notes about Dave and his follow-up visit to be added to their Tele-Med profile. Dave's next Tele-Med doctor will be able to view these notes while treating Dave in the future. 

Please write at least 3 notes. Your notes can be either full sentences or bullet points.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"After the time and effort spent creating a treatment plan and explaining it, this is frustrating.",Dave is not taking initiative with their own health.,Dave is honest.,Dave is exaggerating their pain.,Dave deserves help.,Dave is difficult.,I feel like giving up on Dave.,Dave is lazy.,Dave is motivated.,It is important to me that Dave's health improves.,Dave is intelligent.,Please indicate which statement you most agree with:,How would you move forward with treating Dave?,"Below, write updated notes about Dave and his follow-up visit to be added to their Tele-Med profile. Dave's next Tele-Med doctor will be able to view these notes while treating Dave in the future. 

Please write at least 3 notes. Your notes can be either full sentences or bullet points.",What do you think of this patient (Dave)?,How do you feel after engaging with this patient (Dave)?,For how many years have you worked as a healthcare professional?,What is your specialty / sub-specialty?,What is your current job title?,For how many years have you worked in your current position?,In which state are you currently employed?,"Approximately what percentage of the patients have health insurance at the medical facility where you work?
Please adjust the slider below to indicate the percentage.",Where did you receive the majority of training for your healthcare occupation?,"50 States, D.C. and Puerto Rico",Please write below the country where you received the the majority of training for your healthcare occupation:,What is your age (in years)?,What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your race/ethnicity? - Selected Choice,What is your race/ethnicity? - Multiracial - Text,What is your race/ethnicity? - Other (please specify) - Text,"Think of this ladder as representing where people stand in the United States. 



At the top of the ladder are the people who are the best off – those who have the most money, the most education, and the most respected jobs. At the bottom are the people who are the worst off – those who have the least money, least education, the least respected jobs, or no job. The higher up you are on this ladder, the closer you are to the people at the very top; the lower you are, the closer you are to the people at the very bottom.


Where would you place yourself on this ladder?",How politically conservative-liberal are you?,What is your current total household income?,Which of the following best describes your father's level of education?,Which of the following best describes your mother's level of education?,Create New Field or Choose From Dropdown...,Condition
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID323""}","{""ImportId"":""QID324""}","{""ImportId"":""QID324_7_TEXT""}","{""ImportId"":""QID345_TEXT""}","{""ImportId"":""QID351""}","{""ImportId"":""QID354""}","{""ImportId"":""QID355""}","{""ImportId"":""QID353""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID343_FIRST_CLICK""}","{""ImportId"":""QID343_LAST_CLICK""}","{""ImportId"":""QID343_PAGE_SUBMIT""}","{""ImportId"":""QID343_CLICK_COUNT""}","{""ImportId"":""QID139_TEXT""}","{""ImportId"":""QID341_FIRST_CLICK""}","{""ImportId"":""QID341_LAST_CLICK""}","{""ImportId"":""QID341_PAGE_SUBMIT""}","{""ImportId"":""QID341_CLICK_COUNT""}","{""ImportId"":""QID329_FIRST_CLICK""}","{""ImportId"":""QID329_LAST_CLICK""}","{""ImportId"":""QID329_PAGE_SUBMIT""}","{""ImportId"":""QID329_CLICK_COUNT""}","{""ImportId"":""QID330_FIRST_CLICK""}","{""ImportId"":""QID330_LAST_CLICK""}","{""ImportId"":""QID330_PAGE_SUBMIT""}","{""ImportId"":""QID330_CLICK_COUNT""}","{""ImportId"":""QID358""}","{""ImportId"":""QID359_TEXT""}","{""ImportId"":""QID347_1""}","{""ImportId"":""QID347_2""}","{""ImportId"":""QID347_3""}","{""ImportId"":""QID347_4""}","{""ImportId"":""QID347_5""}","{""ImportId"":""QID347_6""}","{""ImportId"":""QID347_7""}","{""ImportId"":""QID347_8""}","{""ImportId"":""QID347_9""}","{""ImportId"":""QID347_10""}","{""ImportId"":""QID347_11""}","{""ImportId"":""QID347_12""}","{""ImportId"":""QID347_13""}","{""ImportId"":""QID347_14""}","{""ImportId"":""QID347_15""}","{""ImportId"":""QID347_16""}","{""ImportId"":""QID347_17""}","{""ImportId"":""QID347_18""}","{""ImportId"":""QID347_19""}","{""ImportId"":""QID347_20""}","{""ImportId"":""QID1717767496_FIRST_CLICK""}","{""ImportId"":""QID1717767496_LAST_CLICK""}","{""ImportId"":""QID1717767496_PAGE_SUBMIT""}","{""ImportId"":""QID1717767496_CLICK_COUNT""}","{""ImportId"":""QID1717767806_FIRST_CLICK""}","{""ImportId"":""QID1717767806_LAST_CLICK""}","{""ImportId"":""QID1717767806_PAGE_SUBMIT""}","{""ImportId"":""QID1717767806_CLICK_COUNT""}","{""ImportId"":""QID1717768246_FIRST_CLICK""}","{""ImportId"":""QID1717768246_LAST_CLICK""}","{""ImportId"":""QID1717768246_PAGE_SUBMIT""}","{""ImportId"":""QID1717768246_CLICK_COUNT""}","{""ImportId"":""QID1717768271""}","{""ImportId"":""QID1717768273""}","{""ImportId"":""QID228_1""}","{""ImportId"":""QID1717768303_FIRST_CLICK""}","{""ImportId"":""QID1717768303_LAST_CLICK""}","{""ImportId"":""QID1717768303_PAGE_SUBMIT""}","{""ImportId"":""QID1717768303_CLICK_COUNT""}","{""ImportId"":""QID318""}","{""ImportId"":""QID1717768305""}","{""ImportId"":""QID1717768306""}","{""ImportId"":""QID1717768308""}","{""ImportId"":""QID1717768309""}","{""ImportId"":""QID1717768310""}","{""ImportId"":""QID1717768312""}","{""ImportId"":""QID1717768313""}","{""ImportId"":""QID1717768314""}","{""ImportId"":""QID1717768315""}","{""ImportId"":""QID1717768316""}","{""ImportId"":""QID1717768317""}","{""ImportId"":""QID1717768318""}","{""ImportId"":""QID251_1""}","{""ImportId"":""QID1717768320_TEXT""}","{""ImportId"":""QID1717768358_FIRST_CLICK""}","{""ImportId"":""QID1717768358_LAST_CLICK""}","{""ImportId"":""QID1717768358_PAGE_SUBMIT""}","{""ImportId"":""QID1717768358_CLICK_COUNT""}","{""ImportId"":""QID319""}","{""ImportId"":""QID1717768360""}","{""ImportId"":""QID1717768361""}","{""ImportId"":""QID1717768363""}","{""ImportId"":""QID1717768364""}","{""ImportId"":""QID1717768365""}","{""ImportId"":""QID1717768367""}","{""ImportId"":""QID1717768368""}","{""ImportId"":""QID1717768369""}","{""ImportId"":""QID1717768370""}","{""ImportId"":""QID1717768371""}","{""ImportId"":""QID1717768372""}","{""ImportId"":""QID1717768373_TEXT""}","{""ImportId"":""QID1717768374_TEXT""}","{""ImportId"":""QID346_TEXT""}","{""ImportId"":""QID348_TEXT""}","{""ImportId"":""QID1717768829_1""}","{""ImportId"":""QID1717768830_TEXT""}","{""ImportId"":""QID1717768831_TEXT""}","{""ImportId"":""QID1717768832_1""}","{""ImportId"":""QID1717768833""}","{""ImportId"":""QID1717768834_1""}","{""ImportId"":""QID1717768836""}","{""ImportId"":""QID1717768837""}","{""ImportId"":""QID1717768838_TEXT""}","{""ImportId"":""QID171_TEXT""}","{""ImportId"":""QID172""}","{""ImportId"":""QID172_5_TEXT""}","{""ImportId"":""QID173""}","{""ImportId"":""QID173_6_TEXT""}","{""ImportId"":""QID173_7_TEXT""}","{""ImportId"":""QID155""}","{""ImportId"":""QID156""}","{""ImportId"":""QID175""}","{""ImportId"":""QID178""}","{""ImportId"":""QID179""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""Condition""}"
2024-06-10 11:22:15,2024-06-10 11:36:48,0,100,872,1,2024-06-10 11:36:49,R_1kHu0EVfIAV15gP,,,,,35.1293,-80.864,anonymous,EN,1,1,,"Insurance denials
Prior authorizations
Inbox messages",6,5,6,5,Low socioeconomic status patients not being able to make appointments or follow recommendations due to financial constraints. Prior authorizations being necessary at all. Insurance practicing medicine in place of the doctor. Low workstaff/shortages across multiple sectors of the hospital.,1.096,1.096,54.655,1,More a symptom of the economy rather than patient directives. Can be moderately challenging as a patient directive however.,1.275,1.275,37.401,1,,,,,,,,,,,5,2,5,2,4,1,1,1,4,4,1,4,1,5,2,4,3,1,4,1,0,0,4.115,0,0,0,40.013,0,0,0,15.11,0,9,"2,5",79,0,0,15.113,0,3,5,5,3,5,3,1,3,2,5,3,4,"2,5",76,Follow up in 3 months after surgery to fix fracture. Pick up hydrocodone at local pharmacy. Please call immediately if you experience any new symptoms/changes in appearance of ankle.,0,0,15.113,0,3,5,5,3,5,4,1,3,2,5,3,4,"Asking him if he values this relationship and if he wants to continue with me, he needs to follow my recommendations at the next appointment. Otherwise, he is free to find another doctor who can be more helpful to him.","'- Surgery scheduled xx/xx
- Acetaminophen sent to pharmacy, instructed patient to call when surgery done and will send repeat hydrocodone
- Instructed to call immediately for any changes in appearance, symptoms",He needs to take more initiative of his health for better long-term prognosis. I have no idea about the rest of what makes up Dave.,"Fine. It's his health to worry about, not my own. I can only make recommendations",5,Family Medicine,Resident Physician,5,,60,1,34,,27,1,,4,,,6,4,3,3,4,,Control_Passive
2024-06-10 11:48:34,2024-06-10 11:48:54,0,100,20,1,2024-06-10 11:48:54,R_6DTFKjF61Qb1X2h,,,,,26.3111,-80.0982,anonymous,EN,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-10 11:35:53,2024-06-10 11:50:04,0,100,850,1,2024-06-10 11:50:04,R_1LA7RBsdsjbSQjc,,,,,39.934,-75.16,anonymous,EN,1,1,,"work hours, charting, having patients follow directions when clearly provided",5,5,5,4,high working hours,2.218,4.433,13.196,5,very much so. I partially picked my specialty based on how compliant the patients are,1.366,18.256,25.265,3,0,0,45.615,0,35.656,35.656,37.168,1,8,,4,3,4,3,4,1,2,2,3,3,2,3,1,4,2,3,3,2,4,2,2.275,2.63,4.012,2,7.049,8.409,40.016,2,8.696,14.651,15.013,3,9,"6,7",50,0,0,15.014,0,5,4,4,3,5,3,2,2,3,4,3,3,"6,7",35,Dave presented today with continued pain in his affected ankle. The pain has not decrease but Dave was not able to follow the pain prescription plan set forward at the last visit. I plan to represcribe medications but at a lower dose.,0.511,0.511,15.116,1,5,5,2,4,3,4,4,3,3,4,3,2,"If imaging if clear of fracture and he can bear weight, I would refer him to a pain specialist.",Dave presents with the same level of pain as the prior follow-up visit. I will order an x-ray to confirm no fracture is present. If no fracture is present I will refer Dave to a pain specialist.,Not a great patient. Becoming suspicious of his actions.,Agitated.,2,Neurology,Researcher,2,,92,1,39,,30,1,,1,,,5,4,1,2,3,,Control_Active
2024-06-10 11:42:27,2024-06-10 12:00:03,0,100,1055,1,2024-06-10 12:00:04,R_7MnXm9MYwDjZIZI,,,,,42.2903,-71.0798,anonymous,EN,1,1,,"Paperwork
Loss of time on quality care 
Increasing pharmaceutical pressures ",5,6,6,5,There just isn’t enough time to provide quality consult with patients when you have to see 30 in a day,20.536,53.709,78.4,3,"Personally I take the time to thoroughly go over the importance of compliance and my patients are pretty good about it, but I know it’s a great concern of my colleagues ",2.397,2.397,60.24,1,,,,,,,,,,,5,1,3,1,5,1,1,1,5,5,1,5,1,5,1,4,4,1,4,1,0,0,4.014,0,6.341,38.727,40.02,4,0,0,15.019,0,6,"7,8",29,0,0,15.018,0,3,2,5,1,5,1,1,1,3,5,5,4,"7,8",45,"Dave came in with pain that has not improved over the last three weeks. After inquiring about whether or not he gave the treatment plan a try, he stated that he did not have the time. As the pain has not gotten worse, I encouraged him to give the Tylenol and lidocaine gel a try, rest his ankle, and report any changes. I ordered imaging to check the ankle for any internal damages. ",0,0,15.116,0,4,4,5,1,5,1,1,1,3,5,5,5,I would explain how important it is for him to comply with the treatment plan ,Will continue to monitor as patient attempts to adhere to treatment plan. Current pain is unchanged from 6 weeks ago. Awaiting imaging.,I think he’s a kid who just as any other kid takes for granted his ankle and thinks he’s unstoppable. Youth. ,I don’t have any ill feelings. ,12,Neurosurgery ,Surgical recovery specialist ,2,,85,1,41,,40,1,,1,,,6,3,6,2,2,,Control_Passive
2024-06-10 11:48:59,2024-06-10 12:06:28,0,100,1048,1,2024-06-10 12:06:29,R_70HKHAxzp6VBJWZ,,,,,26.2462,-80.2652,anonymous,EN,1,1,,"1)Staffing
2)Communication
3) Effects and patience with results",5,6,6,5,Barriers and family matters are big. Its a community effort.,2.058,2.058,16.502,1,"It makes communication and continuity very difficult
",1.029,119.332,119.567,8,,,,,,,,,,,3,4,4,2,4,2,4,2,3,,2,5,1,4,2,4,4,2,4,1,0,0,5.41,0,0,0,41.588,0,0,0,16.797,0,6,"3,7",60,0,0,15.903,0,4,,4,3,5,4,4,3,4,4,4,3,"1,4",62,"1.patient could be a possible med seeker
2. patient is a poor historian
3. patient does not follow orders",0,0,15.113,0,4,5,2,5,4,5,4,5,2,4,2,1,I would advise him to follow up with his primary doctor,"1. He is lazy
2. He does not follow orders
3. He is a poor historian.",He does not take directions,I would feel annoyed,8,Pscyh,MD,9,,91,1,10,,32,1,,1,,,8,6,6,4,4,,Control_Passive
2024-06-10 12:29:19,2024-06-10 12:29:56,0,100,36,1,2024-06-10 12:29:56,R_79o8GdkwQwaFXjA,,,,,32.915,-96.6751,anonymous,EN,1,7,Optometrist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-10 12:21:41,2024-06-10 12:36:10,0,100,868,1,2024-06-10 12:36:10,R_3kik0Da04o75r2c,,,,,47.0111,-122.875,anonymous,EN,1,1,,"It is the increased demand for documentation that takes away time from patient care. Another thing is increased litigation risk. Lastly, the increased demand to see more patients/decrease reimbursement rate.",5,6,6,5,"I do not enjoy having increased demand to see more patients per hour with our dwindling reimbursement rates. Admin also creates unnecessary rule changes and increased demand, we do not need admin bloat. Lastly, the increased documentation/paperwork is extremely burnout inducing.",1.415,23.113,70.403,3,It makes it difficult in that patients will complain about an issue but then do not comply with recommendations.,0.701,0.701,20.166,1,,,,,,,,,,,3,2,3,1,3,1,1,1,3,5,2,3,1,3,1,3,3,1,3,1,0,0,4.116,0,0,0,40.113,0,9.928,9.928,15.126,1,4,"6,7",48,0,0,15.012,0,2,4,4,2,5,1,1,1,2,4,3,2,"5,6",,"Male with fracture on xray. Prescribed acetominophenol/tramadol, but not adherent to treatment. Still reports pain a few weeks later, given hydrocodone/tramadol for persistent pain.",0,0,15.015,0,4,4,4,2,4,3,2,4,2,4,3,2,I would be more straight forward with Dave and tell him he needs to be consistent and this is the last script I am sending. Setting proper boundaries.,Male presents today with persistent pain. Still reports not being adherent to treatment. Will send one last script and voiced the need to be persistent with treatment.,"Not much, typical patient. No ill-feeling or judgement with this patient.","neutral, not upset or any other feelings. Just a part of my job.",6,Primary care,Doctor,2,,70,1,49,,30,1,,2,,,6,2,4,1,2,,Control_Passive
2024-06-10 12:15:01,2024-06-10 12:36:42,0,100,1300,1,2024-06-10 12:36:43,R_1Pw9DIAO0xL8CPf,,,,,37.797,-81.1979,anonymous,EN,1,1,,"'- Getting patients to listen to advice/treatment plans, due to a lot of skepticism (a lot of it post COVID-19)
- Dealing with insurance agencies that will deny diagnostic tests/medications for no good clinical reason.
- Being able to build a trusting rapport with the patients you encounter, due to the first point of the growing skepticism",6,5,5,4,"I think that is true in saying that staff shortages cause a lot of difficulties. Even in the hospital setting, having a lot of travel nurses that don't know the system or have a relationship with you can lead to some confusion and extra work. It's tough to get things done in a timely manner, with a lot of staff (physicians, nurses, etc. everyone) incredibly stressed and overworked. In addition to that, it's difficult to provide healthcare to non-compliant, argumentative patients at times. I think COVID really caused a trust problem between the general population and healthcare providers even though we just follow protocol and the information that comes to us from the latest research. ",1.591,1.591,126.773,1,"It makes it more difficult to suggest a treatment plan, or be able to have accurate follow-ups for the treatment plans you've made if your patient is non-compliant/non-adherent. I have found that patient's who don't take the medications prescribed and lab values worsen on the next follow-up often still seem shocked that things aren't improving. It makes you spend extra time to build rapport and hammer home important points involving their care, which can delay things in the clinic setting, or rounding in the hospital setting. ",1.214,1.214,92.931,1,0,0,45.602,0,0,0,45.844,0,9,"I think these are both situations you can see first hand in healthcare currently, there's no surprise to me that these problems are seen nationwide and have stimulated discussions. I can tell with the amount of travel nurses and the frustrations voiced by other healthcare providers about the lack of staff, and the non-compliant/non-adherent patients are often seen in clinic and in the hospital in an acute setting. ",4,1,3,1,3,1,1,1,4,4,1,4,1,3,1,3,4,1,4,1,0,0,5.61,0,0,0,40.213,0,0,0,16.508,0,8,"6,7",12,0,0,16.042,0,4,3,5,2,5,3,1,2,3,5,3,2,"6,7",11,"'- Patient presented with ankle pain and was diagnosed with grade 2 ankle sprain
- Prescribed acetaminophen and tramadol at low dose to help with the pain, and scheduled follow-up
- At follow-up patient reported no improvement with pain however is non-compliant with treatment. 
- Will educate on importance of treatment protocol and other education points to try to improve compliance.",0,0,15.099,0,5,4,5,2,5,4,2,3,2,5,3,2,"I'd stress that there will be no improvement if he continues to not follow the recommended treatment plan, and I'd also ask about factors contributing to the non-compliance (ie can you not get your medication filled at a pharmacy, having trouble picking it up, etc.) and see what I could suggest/do to help reduce those factors. I'd also involve Dave in the treatment plan and see if he has any recommendations that he'd like to try. ","'- Patient returned for follow-up after explaining the importance of compliance to medication with no improvement in pain and continued non-compliance.
- Wrote the same prescriptions and had a discussion with the patient on factors contributing to non-compliance for treatment plan. 
- Worked together for therapeutic alliance, and stressed importance that improvement of symptoms unlikely without adherence. Patient understood associated risks & benefits. ","I think he is slightly difficult, it is a little frustrating that he is non-compliant with the treatment plan as it's an ankle sprain that will take time to heal. I'm sure the pain would reduce some if he took the prescribed medications. I'd want to know what factors are contributing to him not taking the medications, rather than judge him immediately. I think Dave may be misinformed about his care, or just maybe holding back his skepticism on treatment and it'd be smart to explore that. ","Slightly annoyed, but ultimately hopeful to find a way to get through. He's not insulting me, causing a ruckus or anything, so I'd still be willing to work with him and be positive about the situation. ",3,Family Medicine,PGY-2 Family Medicine,3,,70,1,50,,30,1,,2,,,8,4,7,2,3,,Control_Active
