"","ResponseId","screener1","screener2","screener2_7_TEXT","challenges_Open","noncompliance","personnel","burnout","difficultPatients","ypControl1","articleResponse","articleResponse_Open","PANAS_1","PANAS_2","PANAS_3","PANAS_4","PANAS_5","PANAS_6","PANAS_7","PANAS_8","PANAS_9","PANAS_10","PANAS_11","PANAS_12","PANAS_13","PANAS_14","PANAS_15","PANAS_16","PANAS_17","PANAS_18","PANAS_19","PANAS_20","timer_First.Click.4","severe","treatment_1","treatmentDose_1_1","frustrating_1","initiative_1","honest_1","exaggerate_1","deserve_1","difficult_1","givingUp_1","lazy_1","motivated_1","healthImproves_1","intelligent_1","attributions_1","treatment_2","treatmentDose_2_1","notes_1","frustrating_2","initiative_2","honest_2","exaggerate_2","deserve_2","difficult_2","givingUp_2","lazy_2","motivated_2","healthImproves_2","intelligent_2","attributions_2","moveForwardOpen","notes_2","opinionPatient_Open","feelPatient_Open","yearsWork_1","specialty","jobTitle","yearsWorkCurrent_1","workWhere","workInsurancePercent_1","trainingWhere","trainingWhere_US","trainingWhere_notUS","age","gender","gender_5_TEXT","race","race_6_TEXT","race_7_TEXT","ladder","politics","income","edFather","edMother","Create.New.Field.or.Choose.From.Dropdown...","Condition"
"3","R_1kHu0EVfIAV15gP","1","1","","Insurance denials
Prior authorizations
Inbox messages","6","5","6","5","Low socioeconomic status patients not being able to make appointments or follow recommendations due to financial constraints. Prior authorizations being necessary at all. Insurance practicing medicine in place of the doctor. Low workstaff/shortages across multiple sectors of the hospital.","","","5","2","5","2","4","1","1","1","4","4","1","4","1","5","2","4","3","1","4","1","0","9","2,5","79","3","5","5","3","5","3","1","3","2","5","3","4","2,5","76","Follow up in 3 months after surgery to fix fracture. Pick up hydrocodone at local pharmacy. Please call immediately if you experience any new symptoms/changes in appearance of ankle.","3","5","5","3","5","4","1","3","2","5","3","4","Asking him if he values this relationship and if he wants to continue with me, he needs to follow my recommendations at the next appointment. Otherwise, he is free to find another doctor who can be more helpful to him.","'- Surgery scheduled xx/xx
- Acetaminophen sent to pharmacy, instructed patient to call when surgery done and will send repeat hydrocodone
- Instructed to call immediately for any changes in appearance, symptoms","He needs to take more initiative of his health for better long-term prognosis. I have no idea about the rest of what makes up Dave.","Fine. It's his health to worry about, not my own. I can only make recommendations","5","Family Medicine","Resident Physician","5","","60","1","34","","27","1","","4","","","6","4","3","3","4","","Control_Passive"
"4","R_6DTFKjF61Qb1X2h","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","R_1LA7RBsdsjbSQjc","1","1","","work hours, charting, having patients follow directions when clearly provided","5","5","5","4","high working hours","8","","4","3","4","3","4","1","2","2","3","3","2","3","1","4","2","3","3","2","4","2","2.275","9","6,7","50","5","4","4","3","5","3","2","2","3","4","3","3","6,7","35","Dave presented today with continued pain in his affected ankle. The pain has not decrease but Dave was not able to follow the pain prescription plan set forward at the last visit. I plan to represcribe medications but at a lower dose.","5","5","2","4","3","4","4","3","3","4","3","2","If imaging if clear of fracture and he can bear weight, I would refer him to a pain specialist.","Dave presents with the same level of pain as the prior follow-up visit. I will order an x-ray to confirm no fracture is present. If no fracture is present I will refer Dave to a pain specialist.","Not a great patient. Becoming suspicious of his actions.","Agitated.","2","Neurology","Researcher","2","","92","1","39","","30","1","","1","","","5","4","1","2","3","","Control_Active"
"6","R_7MnXm9MYwDjZIZI","1","1","","Paperwork
Loss of time on quality care 
Increasing pharmaceutical pressures ","5","6","6","5","There just isn’t enough time to provide quality consult with patients when you have to see 30 in a day","","","5","1","3","1","5","1","1","1","5","5","1","5","1","5","1","4","4","1","4","1","0","6","7,8","29","3","2","5","1","5","1","1","1","3","5","5","4","7,8","45","Dave came in with pain that has not improved over the last three weeks. After inquiring about whether or not he gave the treatment plan a try, he stated that he did not have the time. As the pain has not gotten worse, I encouraged him to give the Tylenol and lidocaine gel a try, rest his ankle, and report any changes. I ordered imaging to check the ankle for any internal damages. ","4","4","5","1","5","1","1","1","3","5","5","5","I would explain how important it is for him to comply with the treatment plan ","Will continue to monitor as patient attempts to adhere to treatment plan. Current pain is unchanged from 6 weeks ago. Awaiting imaging.","I think he’s a kid who just as any other kid takes for granted his ankle and thinks he’s unstoppable. Youth. ","I don’t have any ill feelings. ","12","Neurosurgery ","Surgical recovery specialist ","2","","85","1","41","","40","1","","1","","","6","3","6","2","2","","Control_Passive"
"7","R_70HKHAxzp6VBJWZ","1","1","","1)Staffing
2)Communication
3) Effects and patience with results","5","6","6","5","Barriers and family matters are big. Its a community effort.","","","3","4","4","2","4","2","4","2","3","","2","5","1","4","2","4","4","2","4","1","0","6","3,7","60","4","","4","3","5","4","4","3","4","4","4","3","1,4","62","1.patient could be a possible med seeker
2. patient is a poor historian
3. patient does not follow orders","4","5","2","5","4","5","4","5","2","4","2","1","I would advise him to follow up with his primary doctor","1. He is lazy
2. He does not follow orders
3. He is a poor historian.","He does not take directions","I would feel annoyed","8","Pscyh","MD","9","","91","1","10","","32","1","","1","","","8","6","6","4","4","","Control_Passive"
"8","R_79o8GdkwQwaFXjA","1","7","Optometrist","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","R_3kik0Da04o75r2c","1","1","","It is the increased demand for documentation that takes away time from patient care. Another thing is increased litigation risk. Lastly, the increased demand to see more patients/decrease reimbursement rate.","5","6","6","5","I do not enjoy having increased demand to see more patients per hour with our dwindling reimbursement rates. Admin also creates unnecessary rule changes and increased demand, we do not need admin bloat. Lastly, the increased documentation/paperwork is extremely burnout inducing.","","","3","2","3","1","3","1","1","1","3","5","2","3","1","3","1","3","3","1","3","1","0","4","6,7","48","2","4","4","2","5","1","1","1","2","4","3","2","5,6","","Male with fracture on xray. Prescribed acetominophenol/tramadol, but not adherent to treatment. Still reports pain a few weeks later, given hydrocodone/tramadol for persistent pain.","4","4","4","2","4","3","2","4","2","4","3","2","I would be more straight forward with Dave and tell him he needs to be consistent and this is the last script I am sending. Setting proper boundaries.","Male presents today with persistent pain. Still reports not being adherent to treatment. Will send one last script and voiced the need to be persistent with treatment.","Not much, typical patient. No ill-feeling or judgement with this patient.","neutral, not upset or any other feelings. Just a part of my job.","6","Primary care","Doctor","2","","70","1","49","","30","1","","2","","","6","2","4","1","2","","Control_Passive"
"10","R_1Pw9DIAO0xL8CPf","1","1","","'- Getting patients to listen to advice/treatment plans, due to a lot of skepticism (a lot of it post COVID-19)
- Dealing with insurance agencies that will deny diagnostic tests/medications for no good clinical reason.
- Being able to build a trusting rapport with the patients you encounter, due to the first point of the growing skepticism","6","5","5","4","I think that is true in saying that staff shortages cause a lot of difficulties. Even in the hospital setting, having a lot of travel nurses that don't know the system or have a relationship with you can lead to some confusion and extra work. It's tough to get things done in a timely manner, with a lot of staff (physicians, nurses, etc. everyone) incredibly stressed and overworked. In addition to that, it's difficult to provide healthcare to non-compliant, argumentative patients at times. I think COVID really caused a trust problem between the general population and healthcare providers even though we just follow protocol and the information that comes to us from the latest research. ","9","I think these are both situations you can see first hand in healthcare currently, there's no surprise to me that these problems are seen nationwide and have stimulated discussions. I can tell with the amount of travel nurses and the frustrations voiced by other healthcare providers about the lack of staff, and the non-compliant/non-adherent patients are often seen in clinic and in the hospital in an acute setting. ","4","1","3","1","3","1","1","1","4","4","1","4","1","3","1","3","4","1","4","1","0","8","6,7","12","4","3","5","2","5","3","1","2","3","5","3","2","6,7","11","'- Patient presented with ankle pain and was diagnosed with grade 2 ankle sprain
- Prescribed acetaminophen and tramadol at low dose to help with the pain, and scheduled follow-up
- At follow-up patient reported no improvement with pain however is non-compliant with treatment. 
- Will educate on importance of treatment protocol and other education points to try to improve compliance.","5","4","5","2","5","4","2","3","2","5","3","2","I'd stress that there will be no improvement if he continues to not follow the recommended treatment plan, and I'd also ask about factors contributing to the non-compliance (ie can you not get your medication filled at a pharmacy, having trouble picking it up, etc.) and see what I could suggest/do to help reduce those factors. I'd also involve Dave in the treatment plan and see if he has any recommendations that he'd like to try. ","'- Patient returned for follow-up after explaining the importance of compliance to medication with no improvement in pain and continued non-compliance.
- Wrote the same prescriptions and had a discussion with the patient on factors contributing to non-compliance for treatment plan. 
- Worked together for therapeutic alliance, and stressed importance that improvement of symptoms unlikely without adherence. Patient understood associated risks & benefits. ","I think he is slightly difficult, it is a little frustrating that he is non-compliant with the treatment plan as it's an ankle sprain that will take time to heal. I'm sure the pain would reduce some if he took the prescribed medications. I'd want to know what factors are contributing to him not taking the medications, rather than judge him immediately. I think Dave may be misinformed about his care, or just maybe holding back his skepticism on treatment and it'd be smart to explore that. ","Slightly annoyed, but ultimately hopeful to find a way to get through. He's not insulting me, causing a ruckus or anything, so I'd still be willing to work with him and be positive about the situation. ","3","Family Medicine","PGY-2 Family Medicine","3","","70","1","50","","30","1","","2","","","8","4","7","2","3","","Control_Active"
"11","R_2OXEXP8tXcLM1KV","1","1","","Workload and Burnout: We often face heavy workloads, long hours, and high levels of stress, leading to burnout. The pressure to provide quality care while managing administrative tasks take a toll on our well-being.

Regulatory Changes and Compliance: Keeping up with constantly evolving regulations, policies, and compliance requirements can be challenging for us. Adhering to these standards while delivering patient care adds complexity to our work.

Technology Integration and Data Management: Implementing and utilizing electronic health records (EHRs), telemedicine platforms, and other technologies can be a significant challenge. We need to adapt to new systems, ensure data security, and maintain patient privacy while embracing digital advancements in healthcare.","5","5","6","5","I often face challenges due to limited resources such as medical supplies, equipment, and staffing. This impact my ability to deliver optimal care and meet the needs of all patients effectively.

Effective communication is crucial in healthcare, but some times I do encounter challenges in communicating with patients who have language barriers, cultural differences, or health literacy issues. Miscommunication lead to misunderstandings, errors, and suboptimal care.

I also encounter ethical dilemmas when making decisions about patient care, especially in situations where there are conflicting values, limited resources, or complex medical conditions. Balancing patient autonomy, beneficence, and justice can be challenging.","8","It explains the realities I face daily as an healthcare provider.","5","1","4","1","5","1","1","1","4","5","1","4","1","5","1","5","4","1","5","1","0","8","3,4","56","3","5","3","2","4","4","3","4","2","4","3","3","2,3","66","1. Dave reported experiencing persistent dull pain in his left ankle since the last visit.
2. Physical examination revealed mild swelling and tenderness around the ankle joint.
3. Recommended continued rest, elevation, and ice therapy for pain management. Advised Dave to follow up in two weeks for further evaluation if symptoms persist.","4","5","3","2","3","4","3","4","2","3","3","3","I might recommend him to another physician if he fails to adhere to prescriptions again.","1. Dave reported that the dull pain in his left ankle has worsened over the past two weeks.
2. Follow-up physical examination showed increased swelling and limited range of motion in the ankle.
3. Prescribed a stronger anti-inflammatory medication and advised Dave to schedule an in-person evaluation with an orthopedic specialist for further assessment and possible imaging studies.","He does not take his health serious","I feel terrified.","14","physiotherapy","physiotherapist","14","","63","1","5","","33","2","","1","","","6","7","7","3","3","","Control_Active"
"12","R_3f6Kpury3GEIhT6","1","1","","Insurance, EMR, and burnout","5","5","5","4","Some difficulties I encounter while providing healthcare include time constraints and burnout. I want to help everyone as best I can but I can have upwards of 20 patients a day so I need to alot my time.","","","1","2","1","1","1","1","2","1","1","1","1","4","1","1","2","2","4","1","2","1","0","6","7,8","54","4","4","5","2","4","2","2","3","4","4","3","4","6,7","64","Dave is a fast food worker who suffered an ankle sprain while at work. I put him on acetaminophen and lidocaine gel which he was noncompliant with. I switched him to a weak opioid.","4","4","5","3","4","4","2","4","3","4","3","5","I would try to tackle why it slips his mind or create a plan that allows him to adhere to the treatment strategy","Dave is a 28 y/o fast food worker who suffered an ankle sprain. He has been non compliant with his medication but we are working on a plan to increase adherence. Dave needs to stick to this for his pain to improve","He is probably a good kid but busy.","Kind of annoyed but things happen. It is just surprising that it is painful enough for him to come to the doctor but not painful enough for him to take the treatment I recommend. Almost seems like drug seeking behavior","4","Internal Medicine","Resident Physician","4","","60","1","15","","24","1","","2","","","5","3","6","4","4","","Control_Passive"
